Date,DateGroup,Open,High,Low,Close,Adj Close,Volume,CloseRate_to_PreviousDay,Bull_Bear
2024/8/15,202408,118.760002,123.239998,117.470001,122.860001,122.860001,318086700,-0.0138 ,0
2024/8/16,202408,121.940002,125,121.18,124.580002,124.580002,302589900,-0.0417 ,0
2024/8/19,202408,124.279999,130,123.419998,130,130,318333600,0.0216 ,4
2024/8/20,202408,128.399994,129.880005,125.889999,127.25,127.25,300087400,-0.0097 ,1
2024/8/21,202408,127.32,129.350006,126.660004,128.5,128.5,257883600,0.0385 ,4
2024/8/22,202408,130.020004,130.75,123.099998,123.739998,123.739998,376189100,-0.0435 ,0
2024/8/23,202408,125.860001,129.600006,125.220001,129.369995,129.369995,323230300,0.0230 ,4
2024/8/26,202408,129.570007,131.259995,124.370003,126.459999,126.459999,331964700,-0.0143 ,0
2024/8/27,202408,125.050003,129.199997,123.879997,128.300003,128.300003,303134600,0.0214 ,4
2024/8/28,202408,128.119995,128.330002,122.639999,125.610001,125.610001,448101100,0.0682 ,4
2024/8/29,202408,121.360001,124.43,116.709999,117.589996,117.589996,453023300,-0.0149 ,0
2024/8/30,202408,119.529999,121.75,117.220001,119.370003,119.370003,333134200,0.0000 ,3
